granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230101T074825Z_20231221T192102Z_L9_30_v1_VEG-DIST-STATUS,20230101,2023-12-21 19:21:02,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230101T075331Z_20231221T192113Z_S2A_30_v1_VEG-DIST-STATUS,20230101,2023-12-21 19:21:13,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230103T073628Z_20231221T192124Z_L9_30_v1_VEG-DIST-STATUS,20230103,2023-12-21 19:21:24,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230103T074219Z_20231221T192135Z_S2B_30_v1_VEG-DIST-STATUS,20230103,2023-12-21 19:21:35,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230106T075219Z_20231221T192149Z_S2B_30_v1_VEG-DIST-STATUS,20230106,2023-12-21 19:21:49,0,0,7,200,0,0,NA,0,0,736,0,2,0,0,NA,0,0,736
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230108T074311Z_20231221T192202Z_S2A_30_v1_VEG-DIST-STATUS,20230108,2023-12-21 19:22:02,0,255,255,200,0,0,NA,0,0,736,0,-1,0,0,NA,0,0,736
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230109T074821Z_20231221T192215Z_L8_30_v1_VEG-DIST-STATUS,20230109,2023-12-21 19:22:15,0,255,255,200,0,0,NA,0,0,736,0,-1,0,0,NA,0,0,736
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230110T074213Z_20231221T192228Z_L9_30_v1_VEG-DIST-STATUS,20230110,2023-12-21 19:22:28,0,5,1,200,0,0,NA,0,0,740,1,15,15,15,20230110,1,1,740
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230111T073622Z_20231221T192240Z_L8_30_v1_VEG-DIST-STATUS,20230111,2023-12-21 19:22:40,0,255,255,200,0,0,NA,0,0,740,1,-1,15,15,20230110,1,1,740
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230111T075301Z_20231221T192252Z_S2A_30_v1_VEG-DIST-STATUS,20230111,2023-12-21 19:22:52,0,255,255,200,0,0,NA,0,0,740,1,-1,15,15,20230110,1,1,740
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230113T074159Z_20231221T192305Z_S2B_30_v1_VEG-DIST-STATUS,20230113,2023-12-21 19:23:05,0,255,255,200,0,0,NA,0,0,740,1,-1,15,15,20230110,1,1,740
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230116T075149Z_20231221T192318Z_S2B_30_v1_VEG-DIST-STATUS,20230116,2023-12-21 19:23:18,0,255,255,200,0,0,NA,0,0,740,1,-1,15,15,20230110,1,1,740
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230117T074819Z_20231221T192331Z_L9_30_v1_VEG-DIST-STATUS,20230117,2023-12-21 19:23:31,0,255,255,200,0,0,NA,0,0,740,1,-1,15,15,20230110,1,1,740
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230118T074204Z_20231221T192344Z_L8_30_v1_VEG-DIST-STATUS,20230118,2023-12-21 19:23:44,0,0,7,200,0,0,NA,0,0,748,0,1,0,0,NA,0,0,748
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230118T074231Z_20231221T192356Z_S2A_30_v1_VEG-DIST-STATUS,20230118,2023-12-21 19:23:56,0,255,255,200,0,0,NA,0,0,748,0,-1,0,0,NA,0,0,748
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230119T073619Z_20231221T192408Z_L9_30_v1_VEG-DIST-STATUS,20230119,2023-12-21 19:24:08,0,255,255,200,0,0,NA,0,0,748,0,-1,0,0,NA,0,0,748
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230121T075231Z_20231221T192420Z_S2A_30_v1_VEG-DIST-STATUS,20230121,2023-12-21 19:24:20,0,255,255,200,0,0,NA,0,0,748,0,-1,0,0,NA,0,0,748
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230123T074119Z_20231221T192433Z_S2B_30_v1_VEG-DIST-STATUS,20230123,2023-12-21 19:24:33,0,255,255,200,0,0,NA,0,0,748,0,-1,0,0,NA,0,0,748
OPERA_L3_DIST-ALERT-HLS_T37RGJ_20230125T074820Z_20231221T192445Z_L8_30_v1_VEG-DIST-STATUS,20230125,2023-12-21 19:24:45,0,255,255,200,0,0,NA,0,0,748,0,-1,0,0,NA,0,0,748
