granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230101T043039Z_20231222T014956Z_L9_30_v1_VEG-DIST-STATUS,20230101,2023-12-22 01:49:56,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230102T042426Z_20231222T015008Z_L8_30_v1_VEG-DIST-STATUS,20230102,2023-12-22 01:50:08,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230104T044201Z_20231222T015020Z_S2A_30_v1_VEG-DIST-STATUS,20230104,2023-12-22 01:50:20,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230106T043149Z_20231222T015033Z_S2B_30_v1_VEG-DIST-STATUS,20230106,2023-12-22 01:50:33,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230109T043035Z_20231222T015048Z_L8_30_v1_VEG-DIST-STATUS,20230109,2023-12-22 01:50:48,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230109T044139Z_20231222T015105Z_S2B_30_v1_VEG-DIST-STATUS,20230109,2023-12-22 01:51:05,0,0,37,200,0,0,NA,0,0,739,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230110T042427Z_20231222T015122Z_L9_30_v1_VEG-DIST-STATUS,20230110,2023-12-22 01:51:22,0,255,255,200,0,0,NA,0,0,739,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230111T043141Z_20231222T015139Z_S2A_30_v1_VEG-DIST-STATUS,20230111,2023-12-22 01:51:39,0,255,255,200,0,0,NA,0,0,739,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230114T044141Z_20231222T015155Z_S2A_30_v1_VEG-DIST-STATUS,20230114,2023-12-22 01:51:55,0,255,255,200,0,0,NA,0,0,739,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T45RYJ_20230116T043129Z_20231222T015212Z_S2B_30_v1_VEG-DIST-STATUS,20230116,2023-12-22 01:52:12,0,255,255,200,0,0,NA,0,0,739,255,-1,-1,-1,NA,255,-1,-1
