granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230217T010830Z_20231222T121042Z_L8_30_v1_VEG-DIST-STATUS,20230217,2023-12-22 12:10:42,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230218T010229Z_20231222T121053Z_L9_30_v1_VEG-DIST-STATUS,20230218,2023-12-22 12:10:53,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230218T011709Z_20231222T121104Z_S2B_30_v1_VEG-DIST-STATUS,20230218,2023-12-22 12:11:04,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230219T005606Z_20231222T121116Z_L8_30_v1_VEG-DIST-STATUS,20230219,2023-12-22 12:11:16,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230219T013711Z_20231222T121126Z_S2A_30_v1_VEG-DIST-STATUS,20230219,2023-12-22 12:11:26,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230220T005005Z_20231222T121138Z_L9_30_v1_VEG-DIST-STATUS,20230220,2023-12-22 12:11:38,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230220T010701Z_20231222T121148Z_S2A_30_v1_VEG-DIST-STATUS,20230220,2023-12-22 12:11:48,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230221T012659Z_20231222T121200Z_S2B_30_v1_VEG-DIST-STATUS,20230221,2023-12-22 12:12:00,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230223T011651Z_20231222T121212Z_S2A_30_v1_VEG-DIST-STATUS,20230223,2023-12-22 12:12:12,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T56VNR_20230224T011407Z_20231222T121222Z_L8_30_v1_VEG-DIST-STATUS,20230224,2023-12-22 12:12:22,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
