granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230104T132231Z_20231221T080512Z_S2A_30_v1_VEG-DIST-STATUS,20230104,2023-12-21 08:05:12,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230107T130808Z_20231221T080526Z_L8_30_v1_VEG-DIST-STATUS,20230107,2023-12-21 08:05:26,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230108T130200Z_20231221T080540Z_L9_30_v1_VEG-DIST-STATUS,20230108,2023-12-21 08:05:40,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230109T132229Z_20231221T080555Z_S2B_30_v1_VEG-DIST-STATUS,20230109,2023-12-21 08:05:55,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230114T132231Z_20231221T080610Z_S2A_30_v1_VEG-DIST-STATUS,20230114,2023-12-21 08:06:10,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230115T130807Z_20231221T080627Z_L9_30_v1_VEG-DIST-STATUS,20230115,2023-12-21 08:06:27,4,64,22,86,64,64,20230115,1,1,745,4,63,63,63,20230115,1,1,745
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230116T130151Z_20231221T080645Z_L8_30_v1_VEG-DIST-STATUS,20230116,2023-12-21 08:06:45,4,255,255,86,64,64,20230115,1,1,745,4,-1,63,63,20230115,1,1,745
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230119T132229Z_20231221T080702Z_S2B_30_v1_VEG-DIST-STATUS,20230119,2023-12-21 08:07:02,4,255,255,86,64,64,20230115,1,1,745,4,-1,63,63,20230115,1,1,745
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230123T130805Z_20231221T080719Z_L8_30_v1_VEG-DIST-STATUS,20230123,2023-12-21 08:07:19,4,255,255,86,64,64,20230115,1,1,745,4,-1,63,63,20230115,1,1,745
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230124T130155Z_20231221T080736Z_L9_30_v1_VEG-DIST-STATUS,20230124,2023-12-21 08:07:36,4,255,255,86,64,64,20230115,1,1,745,4,-1,63,63,20230115,1,1,745
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230124T132231Z_20231221T080753Z_S2A_30_v1_VEG-DIST-STATUS,20230124,2023-12-21 08:07:53,4,255,255,86,64,64,20230115,1,1,745,4,-1,63,63,20230115,1,1,745
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230129T132229Z_20231221T080810Z_S2B_30_v1_VEG-DIST-STATUS,20230129,2023-12-21 08:08:10,4,255,255,86,64,64,20230115,1,1,745,4,-1,63,63,20230115,1,1,745
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230131T130812Z_20231221T080828Z_L9_30_v1_VEG-DIST-STATUS,20230131,2023-12-21 08:08:28,5,72,16,88,72,272,20230115,2,17,761,5,65,65,256,20230115,2,17,761
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230201T130157Z_20231221T080846Z_L8_30_v1_VEG-DIST-STATUS,20230201,2023-12-21 08:08:46,5,255,255,88,72,272,20230115,2,17,761,5,-1,65,256,20230115,2,17,761
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230203T132231Z_20231221T080904Z_S2A_30_v1_VEG-DIST-STATUS,20230203,2023-12-21 08:09:04,6,64,24,88,72,600,20230115,3,20,764,6,52,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230208T130805Z_20231221T080922Z_L8_30_v1_VEG-DIST-STATUS,20230208,2023-12-21 08:09:22,6,255,255,88,72,600,20230115,3,20,764,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230208T132229Z_20231221T080940Z_S2B_30_v1_VEG-DIST-STATUS,20230208,2023-12-21 08:09:40,6,74,14,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230209T130204Z_20231221T080959Z_L9_30_v1_VEG-DIST-STATUS,20230209,2023-12-21 08:09:59,6,255,255,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230213T132231Z_20231221T081017Z_S2A_30_v1_VEG-DIST-STATUS,20230213,2023-12-21 08:10:17,6,255,255,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230216T130811Z_20231221T081036Z_L9_30_v1_VEG-DIST-STATUS,20230216,2023-12-21 08:10:36,6,255,255,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230217T130147Z_20231221T081054Z_L8_30_v1_VEG-DIST-STATUS,20230217,2023-12-21 08:10:54,6,255,255,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230218T132229Z_20231221T081112Z_S2B_30_v1_VEG-DIST-STATUS,20230218,2023-12-21 08:11:12,6,255,255,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230223T132231Z_20231221T081131Z_S2A_30_v1_VEG-DIST-STATUS,20230223,2023-12-21 08:11:31,6,255,255,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230224T130748Z_20231221T081149Z_L8_30_v1_VEG-DIST-STATUS,20230224,2023-12-21 08:11:49,6,255,255,88,74,1096,20230115,4,25,769,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230228T132239Z_20231221T081207Z_S2B_30_v1_VEG-DIST-STATUS,20230228,2023-12-21 08:12:07,6,78,13,91,78,1760,20230115,5,45,789,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230304T130758Z_20231221T081225Z_L9_30_v1_VEG-DIST-STATUS,20230304,2023-12-21 08:12:25,6,77,14,91,78,2574,20230115,6,49,793,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230305T130135Z_20231221T081243Z_L8_30_v1_VEG-DIST-STATUS,20230305,2023-12-21 08:12:43,6,255,255,91,78,2574,20230115,6,49,793,6,-1,65,540,20230115,3,20,764
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230305T132231Z_20231221T081301Z_S2A_30_v1_VEG-DIST-STATUS,20230305,2023-12-21 08:13:01,6,73,18,91,78,3513,20230115,7,50,794,6,60,65,960,20230115,4,50,794
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230310T132239Z_20231221T081317Z_S2B_30_v1_VEG-DIST-STATUS,20230310,2023-12-21 08:13:17,6,77,12,91,78,4630,20230115,8,55,799,6,48,65,1440,20230115,5,55,799
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230312T130743Z_20231221T081333Z_L8_30_v1_VEG-DIST-STATUS,20230312,2023-12-21 08:13:33,6,81,8,89,81,5937,20230115,9,57,801,6,52,65,2040,20230115,6,57,801
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230313T130143Z_20231221T081348Z_L9_30_v1_VEG-DIST-STATUS,20230313,2023-12-21 08:13:48,6,255,255,89,81,5937,20230115,9,57,801,6,-1,65,2040,20230115,6,57,801
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230315T132231Z_20231221T081404Z_S2A_30_v1_VEG-DIST-STATUS,20230315,2023-12-21 08:14:04,6,255,255,89,81,5937,20230115,9,57,801,6,-1,65,2040,20230115,6,57,801
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230320T130751Z_20231221T081420Z_L9_30_v1_VEG-DIST-STATUS,20230320,2023-12-21 08:14:20,6,255,255,89,81,5937,20230115,9,57,801,6,-1,65,2040,20230115,6,57,801
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230320T132239Z_20231221T081436Z_S2B_30_v1_VEG-DIST-STATUS,20230320,2023-12-21 08:14:36,6,255,255,89,81,5937,20230115,9,57,801,6,-1,65,2040,20230115,6,57,801
OPERA_L3_DIST-ALERT-HLS_T23LMF_20230321T130126Z_20231221T081452Z_L8_30_v1_VEG-DIST-STATUS,20230321,2023-12-21 08:14:52,6,255,255,89,81,5937,20230115,9,57,801,6,-1,65,2040,20230115,6,57,801
