granuleID,SensingTime,VEG-IND,VEG-ANOM,VBaseline,VBaselineCount,NDVI,NDVIbaseline
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230309T142117Z_20231221T042347Z_L8_30_v1_VEG-DIST-STATUS,20230309,255,255,27,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230310T141516Z_20231221T042358Z_L9_30_v1_VEG-DIST-STATUS,20230310,32,0,27,0,22,6
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230311T142719Z_20231221T042410Z_S2B_30_v1_VEG-DIST-STATUS,20230311,255,255,27,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230313T141711Z_20231221T042421Z_S2A_30_v1_VEG-DIST-STATUS,20230313,255,255,27,0,25,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230316T142711Z_20231221T042433Z_S2A_30_v1_VEG-DIST-STATUS,20230316,255,255,27,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230317T142127Z_20231221T042444Z_L9_30_v1_VEG-DIST-STATUS,20230317,38,0,27,0,21,3
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230318T141503Z_20231221T042456Z_L8_30_v1_VEG-DIST-STATUS,20230318,255,255,0,-1,24,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230318T141719Z_20231221T042507Z_S2B_30_v1_VEG-DIST-STATUS,20230318,255,255,0,-1,24,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230321T142719Z_20231221T042518Z_S2B_30_v1_VEG-DIST-STATUS,20230321,255,255,0,-1,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230323T141711Z_20231221T042530Z_S2A_30_v1_VEG-DIST-STATUS,20230323,255,255,0,-1,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230325T142108Z_20231221T042541Z_L8_30_v1_VEG-DIST-STATUS,20230325,51,0,0,-1,21,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230326T141509Z_20231221T042552Z_L9_30_v1_VEG-DIST-STATUS,20230326,255,255,0,-1,22,2
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230326T142711Z_20231221T042603Z_S2A_30_v1_VEG-DIST-STATUS,20230326,255,255,0,-1,22,-1
