granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230101T074713Z_20231221T192131Z_L9_30_v1_VEG-DIST-STATUS,20230101,2023-12-21 19:21:31,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230101T075331Z_20231221T192145Z_S2A_30_v1_VEG-DIST-STATUS,20230101,2023-12-21 19:21:45,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230102T074101Z_20231221T192200Z_L8_30_v1_VEG-DIST-STATUS,20230102,2023-12-21 19:22:00,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230106T075219Z_20231221T192214Z_S2B_30_v1_VEG-DIST-STATUS,20230106,2023-12-21 19:22:14,0,0,1,200,0,0,NA,0,0,736,0,6,0,0,NA,0,0,736
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230111T075301Z_20231221T192230Z_S2A_30_v1_VEG-DIST-STATUS,20230111,2023-12-21 19:22:30,0,0,3,200,0,0,NA,0,0,741,0,9,0,0,NA,0,0,741
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230116T075149Z_20231221T192247Z_S2B_30_v1_VEG-DIST-STATUS,20230116,2023-12-21 19:22:47,0,255,255,200,0,0,NA,0,0,741,0,-1,0,0,NA,0,0,741
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230117T074707Z_20231221T192305Z_L9_30_v1_VEG-DIST-STATUS,20230117,2023-12-21 19:23:05,0,0,5,200,0,0,NA,0,0,747,0,9,0,0,NA,0,0,747
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230118T074052Z_20231221T192324Z_L8_30_v1_VEG-DIST-STATUS,20230118,2023-12-21 19:23:24,0,255,255,200,0,0,NA,0,0,747,0,-1,0,0,NA,0,0,747
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230119T080149Z_20231221T192342Z_S2B_30_v1_VEG-DIST-STATUS,20230119,2023-12-21 19:23:42,0,0,1,200,0,0,NA,0,0,749,0,8,0,0,NA,0,0,749
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230121T075231Z_20231221T192401Z_S2A_30_v1_VEG-DIST-STATUS,20230121,2023-12-21 19:24:01,0,0,1,200,0,0,NA,0,0,751,0,10,0,0,NA,0,0,751
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230124T080221Z_20231221T192421Z_S2A_30_v1_VEG-DIST-STATUS,20230124,2023-12-21 19:24:21,0,0,1,200,0,0,NA,0,0,754,1,19,19,19,20230124,1,1,754
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230125T074708Z_20231221T192444Z_L8_30_v1_VEG-DIST-STATUS,20230125,2023-12-21 19:24:44,0,255,255,200,0,0,NA,0,0,754,1,-1,19,19,20230124,1,1,754
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230126T074059Z_20231221T192507Z_L9_30_v1_VEG-DIST-STATUS,20230126,2023-12-21 19:25:07,0,255,255,200,0,0,NA,0,0,754,1,-1,19,19,20230124,1,1,754
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230126T075109Z_20231221T192530Z_S2B_30_v1_VEG-DIST-STATUS,20230126,2023-12-21 19:25:30,0,0,1,200,0,0,NA,0,0,756,2,20,20,78,20230124,2,3,756
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230129T080059Z_20231221T192552Z_S2B_30_v1_VEG-DIST-STATUS,20230129,2023-12-21 19:25:52,0,0,1,200,0,0,NA,0,0,759,2,21,21,180,20230124,3,6,759
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230131T075141Z_20231221T192614Z_S2A_30_v1_VEG-DIST-STATUS,20230131,2023-12-21 19:26:14,0,255,255,200,0,0,NA,0,0,759,2,-1,21,180,20230124,3,6,759
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230202T074715Z_20231221T192641Z_L9_30_v1_VEG-DIST-STATUS,20230202,2023-12-21 19:26:41,0,0,1,200,0,0,NA,0,0,763,2,21,21,324,20230124,4,10,763
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230203T074058Z_20231221T192708Z_L8_30_v1_VEG-DIST-STATUS,20230203,2023-12-21 19:27:08,0,255,255,200,0,0,NA,0,0,763,2,-1,21,324,20230124,4,10,763
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230203T080131Z_20231221T192735Z_S2A_30_v1_VEG-DIST-STATUS,20230203,2023-12-21 19:27:35,0,0,0,200,0,0,NA,0,0,764,2,14,21,304,20230124,4,10,764
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230205T075019Z_20231221T192804Z_S2B_30_v1_VEG-DIST-STATUS,20230205,2023-12-21 19:28:04,0,0,2,200,0,0,NA,0,0,766,3,20,21,479,20230124,5,13,766
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230208T080009Z_20231221T192832Z_S2B_30_v1_VEG-DIST-STATUS,20230208,2023-12-21 19:28:32,0,0,0,200,0,0,NA,0,0,769,3,13,21,457,20230124,5,13,769
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230210T074706Z_20231221T192903Z_L8_30_v1_VEG-DIST-STATUS,20230210,2023-12-21 19:29:03,0,255,255,200,0,0,NA,0,0,769,3,-1,21,457,20230124,5,13,769
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230210T075051Z_20231221T192935Z_S2A_30_v1_VEG-DIST-STATUS,20230210,2023-12-21 19:29:35,0,255,255,200,0,0,NA,0,0,769,3,-1,21,457,20230124,5,13,769
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230211T074106Z_20231221T193008Z_L9_30_v1_VEG-DIST-STATUS,20230211,2023-12-21 19:30:08,0,255,255,200,0,0,NA,0,0,769,3,-1,21,457,20230124,5,13,769
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230213T080031Z_20231221T193040Z_S2A_30_v1_VEG-DIST-STATUS,20230213,2023-12-21 19:30:40,0,255,255,200,0,0,NA,0,0,769,3,-1,21,457,20230124,5,13,769
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230215T075009Z_20231221T193113Z_S2B_30_v1_VEG-DIST-STATUS,20230215,2023-12-21 19:31:13,0,0,0,200,0,0,NA,0,0,776,3,17,21,652,20230124,6,23,776
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230218T074710Z_20231221T193145Z_L9_30_v1_VEG-DIST-STATUS,20230218,2023-12-21 19:31:45,0,0,0,200,0,0,NA,0,0,779,3,13,21,631,20230124,6,23,779
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230218T075959Z_20231221T193216Z_S2B_30_v1_VEG-DIST-STATUS,20230218,2023-12-21 19:32:16,0,0,1,200,0,0,NA,0,0,779,7,12,21,611,20230124,6,23,779
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230219T074047Z_20231221T193247Z_L8_30_v1_VEG-DIST-STATUS,20230219,2023-12-21 19:32:47,0,255,255,200,0,0,NA,0,0,779,7,-1,21,611,20230124,6,23,779
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230220T074941Z_20231221T193319Z_S2A_30_v1_VEG-DIST-STATUS,20230220,2023-12-21 19:33:19,0,0,0,200,0,0,NA,0,0,781,7,11,21,611,20230124,6,23,781
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230223T075931Z_20231221T193351Z_S2A_30_v1_VEG-DIST-STATUS,20230223,2023-12-21 19:33:51,0,0,0,200,0,0,NA,0,0,784,7,9,21,611,20230124,6,23,784
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230225T074909Z_20231221T193422Z_S2B_30_v1_VEG-DIST-STATUS,20230225,2023-12-21 19:34:22,0,1,0,200,0,0,NA,0,0,786,7,8,21,611,20230124,6,23,786
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230226T074650Z_20231221T193455Z_L8_30_v1_VEG-DIST-STATUS,20230226,2023-12-21 19:34:55,0,0,1,200,0,0,NA,0,0,787,7,10,21,611,20230124,6,23,787
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230227T074052Z_20231221T193527Z_L9_30_v1_VEG-DIST-STATUS,20230227,2023-12-21 19:35:27,0,255,255,200,0,0,NA,0,0,787,7,-1,21,611,20230124,6,23,787
OPERA_L3_DIST-ALERT-HLS_T37RGP_20230228T075849Z_20231221T193559Z_S2B_30_v1_VEG-DIST-STATUS,20230228,2023-12-21 19:35:59,0,0,1,200,0,0,NA,0,0,789,7,8,21,611,20230124,6,23,789
