granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230102T134505Z_20231221T052804Z_L9_30_v1_VEG-DIST-STATUS,20230102,2023-12-21 05:28:04,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230103T134701Z_20231221T052816Z_S2A_30_v1_VEG-DIST-STATUS,20230103,2023-12-21 05:28:16,0,6,18,200,0,0,NA,0,0,733,0,2,0,0,NA,0,0,733
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230106T135701Z_20231221T052829Z_S2A_30_v1_VEG-DIST-STATUS,20230106,2023-12-21 05:28:29,0,8,16,200,0,0,NA,0,0,736,0,2,0,0,NA,0,0,736
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230108T134659Z_20231221T052842Z_S2B_30_v1_VEG-DIST-STATUS,20230108,2023-12-21 05:28:42,0,5,19,200,0,0,NA,0,0,738,0,1,0,0,NA,0,0,738
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230108T135659Z_20231221T052854Z_L8_30_v1_VEG-DIST-STATUS,20230108,2023-12-21 05:28:54,0,255,255,200,0,0,NA,0,0,738,0,-1,0,0,NA,0,0,738
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230109T135051Z_20231221T052909Z_L9_30_v1_VEG-DIST-STATUS,20230109,2023-12-21 05:29:09,0,2,22,200,0,0,NA,0,0,739,0,2,0,0,NA,0,0,739
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230110T134500Z_20231221T052922Z_L8_30_v1_VEG-DIST-STATUS,20230110,2023-12-21 05:29:22,0,255,255,200,0,0,NA,0,0,739,0,-1,0,0,NA,0,0,739
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230113T134701Z_20231221T052936Z_S2A_30_v1_VEG-DIST-STATUS,20230113,2023-12-21 05:29:36,1,13,18,31,13,13,20230113,1,1,743,0,3,0,0,NA,0,0,743
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230116T135657Z_20231221T052950Z_L9_30_v1_VEG-DIST-STATUS,20230116,2023-12-21 05:29:50,1,255,255,31,13,13,20230113,1,1,743,0,-1,0,0,NA,0,0,743
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230116T135701Z_20231221T053004Z_S2A_30_v1_VEG-DIST-STATUS,20230116,2023-12-21 05:30:04,2,22,17,39,22,70,20230113,2,4,746,0,3,0,0,NA,0,0,746
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230117T135041Z_20231221T053019Z_L8_30_v1_VEG-DIST-STATUS,20230117,2023-12-21 05:30:19,2,27,23,50,27,186,20230113,3,5,747,0,8,0,0,NA,0,0,747
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230118T134457Z_20231221T053035Z_L9_30_v1_VEG-DIST-STATUS,20230118,2023-12-21 05:30:35,2,255,255,50,27,186,20230113,3,5,747,0,-1,0,0,NA,0,0,747
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230123T134701Z_20231221T053050Z_S2A_30_v1_VEG-DIST-STATUS,20230123,2023-12-21 05:30:50,2,29,21,50,29,364,20230113,4,11,753,0,5,0,0,NA,0,0,753
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230124T135657Z_20231221T053105Z_L8_30_v1_VEG-DIST-STATUS,20230124,2023-12-21 05:31:05,2,255,255,50,29,364,20230113,4,11,753,0,-1,0,0,NA,0,0,753
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230125T135047Z_20231221T053121Z_L9_30_v1_VEG-DIST-STATUS,20230125,2023-12-21 05:31:21,2,255,255,50,29,364,20230113,4,11,753,0,-1,0,0,NA,0,0,753
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230126T135701Z_20231221T053136Z_S2A_30_v1_VEG-DIST-STATUS,20230126,2023-12-21 05:31:36,3,23,27,50,29,570,20230113,5,14,756,0,4,0,0,NA,0,0,756
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230128T134659Z_20231221T053151Z_S2B_30_v1_VEG-DIST-STATUS,20230128,2023-12-21 05:31:51,3,255,255,50,29,570,20230113,5,14,756,0,-1,0,0,NA,0,0,756
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230131T135659Z_20231221T053209Z_S2B_30_v1_VEG-DIST-STATUS,20230131,2023-12-21 05:32:09,3,24,43,50,29,828,20230113,6,19,761,0,5,0,0,NA,0,0,761
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230201T135704Z_20231221T053226Z_L9_30_v1_VEG-DIST-STATUS,20230201,2023-12-21 05:32:26,3,255,255,50,29,828,20230113,6,19,761,0,-1,0,0,NA,0,0,761
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230202T134701Z_20231221T053244Z_S2A_30_v1_VEG-DIST-STATUS,20230202,2023-12-21 05:32:44,3,255,255,50,29,828,20230113,6,19,761,0,-1,0,0,NA,0,0,761
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230203T134507Z_20231221T053302Z_L9_30_v1_VEG-DIST-STATUS,20230203,2023-12-21 05:33:02,3,255,255,50,29,828,20230113,6,19,761,0,-1,0,0,NA,0,0,761
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230205T135701Z_20231221T053319Z_S2A_30_v1_VEG-DIST-STATUS,20230205,2023-12-21 05:33:19,3,28,47,50,29,1162,20230113,7,24,766,0,6,0,0,NA,0,0,766
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230207T134659Z_20231221T053337Z_S2B_30_v1_VEG-DIST-STATUS,20230207,2023-12-21 05:33:37,3,37,43,80,37,1624,20230113,8,26,768,0,7,0,0,NA,0,0,768
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230209T135656Z_20231221T053354Z_L8_30_v1_VEG-DIST-STATUS,20230209,2023-12-21 05:33:54,3,255,255,80,37,1624,20230113,8,26,768,0,-1,0,0,NA,0,0,768
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230210T135055Z_20231221T053413Z_L9_30_v1_VEG-DIST-STATUS,20230210,2023-12-21 05:34:13,3,24,58,80,37,2043,20230113,9,29,771,0,7,0,0,NA,0,0,771
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230210T135659Z_20231221T053432Z_S2B_30_v1_VEG-DIST-STATUS,20230210,2023-12-21 05:34:32,3,28,54,80,37,2550,20230113,10,29,771,0,8,0,0,NA,0,0,771
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230211T134456Z_20231221T053450Z_L8_30_v1_VEG-DIST-STATUS,20230211,2023-12-21 05:34:50,3,255,255,80,37,2550,20230113,10,29,771,0,-1,0,0,NA,0,0,771
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230212T134701Z_20231221T053510Z_S2A_30_v1_VEG-DIST-STATUS,20230212,2023-12-21 05:35:10,3,43,54,97,43,3278,20230113,11,31,773,1,30,30,30,20230212,1,1,773
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230215T135701Z_20231221T053529Z_S2A_30_v1_VEG-DIST-STATUS,20230215,2023-12-21 05:35:29,3,45,51,96,45,4116,20230113,12,34,776,2,30,30,120,20230212,2,4,776
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230217T134709Z_20231221T053548Z_S2B_30_v1_VEG-DIST-STATUS,20230217,2023-12-21 05:35:48,3,255,255,96,45,4116,20230113,12,34,776,2,-1,30,120,20230212,2,4,776
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230217T135700Z_20231221T053607Z_L9_30_v1_VEG-DIST-STATUS,20230217,2023-12-21 05:36:07,3,255,255,96,45,4116,20230113,12,34,776,2,-1,30,120,20230212,2,4,776
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230218T135037Z_20231221T053628Z_L8_30_v1_VEG-DIST-STATUS,20230218,2023-12-21 05:36:28,3,39,57,96,45,4966,20230113,13,37,779,2,30,30,270,20230212,3,7,779
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230219T134500Z_20231221T053649Z_L9_30_v1_VEG-DIST-STATUS,20230219,2023-12-21 05:36:49,3,255,255,96,45,4966,20230113,13,37,779,2,-1,30,270,20230212,3,7,779
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230220T135709Z_20231221T053709Z_S2B_30_v1_VEG-DIST-STATUS,20230220,2023-12-21 05:37:09,3,45,51,96,45,5978,20230113,14,39,781,3,32,32,488,20230212,4,9,781
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230222T134701Z_20231221T053729Z_S2A_30_v1_VEG-DIST-STATUS,20230222,2023-12-21 05:37:29,3,36,60,96,45,6945,20230113,15,41,783,3,27,32,745,20230212,5,11,783
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230225T135638Z_20231221T053748Z_L8_30_v1_VEG-DIST-STATUS,20230225,2023-12-21 05:37:48,3,255,255,96,45,6945,20230113,15,41,783,3,-1,32,745,20230212,5,11,783
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230225T135701Z_20231221T053808Z_S2A_30_v1_VEG-DIST-STATUS,20230225,2023-12-21 05:38:08,6,55,41,96,55,8288,20230113,16,44,786,3,41,41,1140,20230212,6,14,786
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230226T135040Z_20231221T053828Z_L9_30_v1_VEG-DIST-STATUS,20230226,2023-12-21 05:38:28,6,42,54,96,55,9520,20230113,17,45,787,3,36,41,1582,20230212,7,15,787
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230227T134709Z_20231221T053847Z_S2B_30_v1_VEG-DIST-STATUS,20230227,2023-12-21 05:38:47,6,55,41,96,55,11070,20230113,18,46,788,3,39,41,2120,20230212,8,16,788
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230302T135709Z_20231221T053907Z_S2B_30_v1_VEG-DIST-STATUS,20230302,2023-12-21 05:39:07,6,50,46,96,55,12635,20230113,19,49,791,3,39,41,2736,20230212,9,19,791
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230304T134701Z_20231221T053927Z_S2A_30_v1_VEG-DIST-STATUS,20230304,2023-12-21 05:39:27,6,54,42,96,55,14380,20230113,20,51,793,3,37,41,3410,20230212,10,21,793
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230305T135648Z_20231221T053947Z_L9_30_v1_VEG-DIST-STATUS,20230305,2023-12-21 05:39:47,6,255,255,96,55,14380,20230113,20,51,793,3,-1,41,3410,20230212,10,21,793
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230306T135025Z_20231221T054008Z_L8_30_v1_VEG-DIST-STATUS,20230306,2023-12-21 05:40:08,6,53,43,96,55,16212,20230113,21,53,795,3,34,41,4125,20230212,11,23,795
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230307T134448Z_20231221T054028Z_L9_30_v1_VEG-DIST-STATUS,20230307,2023-12-21 05:40:28,6,255,255,96,55,16212,20230113,21,53,795,3,-1,41,4125,20230212,11,23,795
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230307T135701Z_20231221T054048Z_S2A_30_v1_VEG-DIST-STATUS,20230307,2023-12-21 05:40:48,6,55,41,96,55,18194,20230113,22,54,796,3,39,41,4968,20230212,12,24,796
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230309T134709Z_20231221T054108Z_S2B_30_v1_VEG-DIST-STATUS,20230309,2023-12-21 05:41:08,6,55,41,96,55,20286,20230113,23,56,798,3,36,41,5850,20230212,13,26,798
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230312T135709Z_20231221T054129Z_S2B_30_v1_VEG-DIST-STATUS,20230312,2023-12-21 05:41:29,6,52,44,96,55,22416,20230113,24,59,801,3,37,41,6818,20230212,14,29,801
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230313T135634Z_20231221T054150Z_L8_30_v1_VEG-DIST-STATUS,20230313,2023-12-21 05:41:50,6,255,255,96,55,22416,20230113,24,59,801,3,-1,41,6818,20230212,14,29,801
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230314T134701Z_20231221T054210Z_S2A_30_v1_VEG-DIST-STATUS,20230314,2023-12-21 05:42:10,6,37,51,96,55,24275,20230113,25,61,803,3,47,47,8010,20230212,15,31,803
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230314T135033Z_20231221T054232Z_L9_30_v1_VEG-DIST-STATUS,20230314,2023-12-21 05:42:32,6,44,44,96,55,26390,20230113,26,61,803,3,41,47,9200,20230212,16,31,803
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230317T135701Z_20231221T054253Z_S2A_30_v1_VEG-DIST-STATUS,20230317,2023-12-21 05:42:53,6,43,45,96,55,28566,20230113,27,64,806,6,62,62,10829,20230212,17,34,806
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230319T134709Z_20231221T054314Z_S2B_30_v1_VEG-DIST-STATUS,20230319,2023-12-21 05:43:14,6,41,47,96,55,30772,20230113,28,66,808,6,59,62,12528,20230212,18,36,808
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230322T135039Z_20231221T054335Z_L8_30_v1_VEG-DIST-STATUS,20230322,2023-12-21 05:43:35,6,255,255,96,55,30772,20230113,28,66,808,6,-1,62,12528,20230212,18,36,808
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230323T134442Z_20231221T054356Z_L9_30_v1_VEG-DIST-STATUS,20230323,2023-12-21 05:43:56,6,255,255,96,55,30772,20230113,28,66,808,6,-1,62,12528,20230212,18,36,808
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230324T134701Z_20231221T054416Z_S2A_30_v1_VEG-DIST-STATUS,20230324,2023-12-21 05:44:16,6,255,255,96,55,30772,20230113,28,66,808,6,-1,62,12528,20230212,18,36,808
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230327T135701Z_20231221T054437Z_S2A_30_v1_VEG-DIST-STATUS,20230327,2023-12-21 05:44:37,6,34,46,96,55,32000,20230113,29,74,816,6,56,62,14288,20230212,19,44,816
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230329T134709Z_20231221T054458Z_S2B_30_v1_VEG-DIST-STATUS,20230329,2023-12-21 05:44:58,6,255,255,96,55,32000,20230113,29,74,816,6,-1,62,14288,20230212,19,44,816
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230329T135623Z_20231221T054519Z_L8_30_v1_VEG-DIST-STATUS,20230329,2023-12-21 05:45:19,6,255,255,96,55,32000,20230113,29,74,816,6,-1,62,14288,20230212,19,44,816
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230330T135021Z_20231221T054540Z_L9_30_v1_VEG-DIST-STATUS,20230330,2023-12-21 05:45:40,6,255,255,96,55,32000,20230113,29,74,816,6,-1,62,14288,20230212,19,44,816
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230401T135709Z_20231221T054601Z_S2B_30_v1_VEG-DIST-STATUS,20230401,2023-12-21 05:46:01,6,44,18,96,55,32000,20230113,30,79,821,6,56,62,16160,20230212,20,49,821
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230403T134701Z_20231221T054621Z_S2A_30_v1_VEG-DIST-STATUS,20230403,2023-12-21 05:46:21,6,255,255,96,55,32000,20230113,30,79,821,6,-1,62,16160,20230212,20,49,821
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230406T135656Z_20231221T054641Z_L9_30_v1_VEG-DIST-STATUS,20230406,2023-12-21 05:46:41,6,255,255,96,55,32000,20230113,30,79,821,6,-1,62,16160,20230212,20,49,821
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230406T140051Z_20231221T054701Z_S2A_30_v1_VEG-DIST-STATUS,20230406,2023-12-21 05:47:01,6,255,255,96,55,32000,20230113,30,79,821,6,-1,62,16160,20230212,20,49,821
OPERA_L3_DIST-ALERT-HLS_T20HQH_20230407T135003Z_20231221T054721Z_L8_30_v1_VEG-DIST-STATUS,20230407,2023-12-21 05:47:21,6,24,16,96,55,32000,20230113,31,85,827,6,7,62,15523,20230212,20,49,827
